Paper MM | v2: OBI + continuous skew + dynamic spread
  2 markets | 2 contracts | 10s interval
  [13:12:42] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=23c sprd=8 q_yes=- q_no=42 inv=2 pnl=-0.6c
  [13:12:47] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
    TRADES KXLOLTOTALMAPS-26MAR19LYGEN-4: 3 new, vol=240 mode=PRE
  [13:12:53] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=22c sprd=8 q_yes=- q_no=42 inv=2 pnl=-0.6c
  [13:12:58] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:13:04] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=22c sprd=7 q_yes=- q_no=42 inv=2 pnl=-0.6c
  [13:13:10] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:13:15] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=22c sprd=7 q_yes=- q_no=42 inv=2 pnl=-0.6c
  [13:13:20] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:13:26] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=22c sprd=7 q_yes=- q_no=42 inv=2 pnl=-0.6c
  [13:13:31] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:13:37] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=22c sprd=7 q_yes=- q_no=42 inv=2 pnl=-0.6c
  [13:13:42] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:13:47] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=22c sprd=7 q_yes=- q_no=42 inv=2 pnl=-0.6c
  [13:13:53] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:13:58] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=22c sprd=8 q_yes=- q_no=42 inv=2 pnl=-0.6c
  [13:14:04] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:14:09] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=22c sprd=8 q_yes=- q_no=42 inv=2 pnl=-0.6c
  [13:14:15] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:14:20] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=21c sprd=12 q_yes=- q_no=42 inv=2 pnl=-0.6c
  [13:14:25] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:14:31] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=21c sprd=12 q_yes=- q_no=42 inv=2 pnl=-0.6c
  [13:14:36] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:14:41] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=22c sprd=8 q_yes=- q_no=42 inv=2 pnl=-0.6c
  [13:14:47] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:14:52] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=22c sprd=8 q_yes=- q_no=42 inv=2 pnl=-0.6c
  [13:14:58] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:15:03] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=22c sprd=8 q_yes=- q_no=42 inv=2 pnl=-0.6c
  [13:15:09] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:15:14] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=20c sprd=14 q_yes=- q_no=42 inv=2 pnl=-0.6c
  [13:15:20] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:15:25] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=22c sprd=8 q_yes=- q_no=42 inv=2 pnl=-0.6c
  [13:15:30] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:15:36] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=22c sprd=8 q_yes=- q_no=42 inv=2 pnl=-0.6c
  [13:15:41] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:15:47] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=20c sprd=14 q_yes=- q_no=42 inv=2 pnl=-0.6c
  [13:15:52] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:15:58] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=19c sprd=11 q_yes=- q_no=42 inv=2 pnl=-0.6c
  [13:16:03] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:16:08] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=19c sprd=11 q_yes=- q_no=42 inv=2 pnl=-0.6c
